HOLE_NAME,START_DATE,OIL,WATER,WATER_INJECTION,STEAM_INJECTION
PGKYPWDW-26H1,5/1/2014 0:00,0,0,709.4117438,0
PGKYPWDW-26H1,6/1/2014 0:00,0,0,649.7876826,0
PGKYPWDW-26H1,7/1/2014 0:00,0,0,658.6847742,0
PGKYPWDW-26H1,8/1/2014 0:00,0,0,656.8116228,0
PGKYPWDW-26H1,9/1/2014 0:00,0,0,792.2825165,0
PGKYPWDW-26H1,10/1/2014 0:00,0,0,442.9733189,0
PGKYPWDW-26H1,11/1/2014 0:00,0,0,699.0928367,0
PGKYPWDW-26H1,12/1/2014 0:00,0,0,655.1211702,0
PGKYPWDW-26H1,1/1/2015 0:00,0,0,733.7915931,0
PGKYPWDW-26H1,2/1/2015 0:00,0,0,696.3584385,0
PGKYPWDW-26H1,3/1/2015 0:00,0,0,736.4370822,0
PGKYPWDW-26H1,4/1/2015 0:00,0,0,651.9899934,0
PGKYPWDW-26H1,5/1/2015 0:00,0,0,585.5096957,0
PGKYPWDW-26H1,6/1/2015 0:00,0,0,433.5221189,0
PGKYPWDW-26H1,7/1/2015 0:00,0,0,354.4811588,0
PGKYPWDW-26H1,8/1/2015 0:00,0,0,356.8189907,0
PGKYPWDW-26H1,9/1/2015 0:00,0,0,0,0
PGKYPWDW-27H1,8/1/2013 0:00,0,0,573.7777203,0
PGKYPWDW-27H1,9/1/2013 0:00,0,0,497.4139841,0
PGKYPWDW-27H1,10/1/2013 0:00,0,0,564.302731,0
PGKYPWDW-27H1,11/1/2013 0:00,0,0,504.7832106,0
PGKYPWDW-27H1,12/1/2013 0:00,0,0,551.9083342,0
PGKYPWDW-27H1,1/1/2014 0:00,0,0,626.082727,0
PGKYPWDW-27H1,2/1/2014 0:00,0,0,496.4249022,0
PGKYPWDW-27H1,3/1/2014 0:00,0,0,625.0585625,0
PGKYPWDW-27H1,4/1/2014 0:00,0,0,569.0722551,0
PGKYPWDW-27H1,5/1/2014 0:00,0,0,611.6337533,0
PGKYPWDW-27H1,6/1/2014 0:00,0,0,523.9470567,0
PGKYPWDW-27H1,7/1/2014 0:00,0,0,484.4569204,0
